,budget,genre,id,imdb_id,overview,original_title,popularity,revenue,release_date,title,year,is_winner
517,22000000,Drama,424,tt0108052,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,Schindler's List,41.725123,321365567,11/29/1993,Schindler's List,1993,TRUE
518,22000000,History,424,tt0108052,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,Schindler's List,41.725123,321365567,11/29/1993,Schindler's List,1993,TRUE
519,22000000,War,424,tt0108052,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,Schindler's List,41.725123,321365567,11/29/1993,Schindler's List,1993,TRUE
757,0,Action,141819,tt2347134,"Set in Hokkaido, Japan in the 1880s. Jubei Kamata (Ken Watanabe), who is on the side of the Edo shogunate government, kills many people. His name is infamous in Kyoto. When the battle at Goryoukaku is about to be finished, Jubei disappears. 10 years later, Jubei lives with his kid in relative peace. He is barely able to make a living. Protecting his dead wife's grave, Jubei has decided to never pick up a sword again, but due to poverty he has no choice but to pick the sword again. Jubei becomes a bounty hunter.",????????????????€?,2.443676,0,9/13/2013,Unforgiven,1992,TRUE
758,0,Crime,141819,tt2347134,"Set in Hokkaido, Japan in the 1880s. Jubei Kamata (Ken Watanabe), who is on the side of the Edo shogunate government, kills many people. His name is infamous in Kyoto. When the battle at Goryoukaku is about to be finished, Jubei disappears. 10 years later, Jubei lives with his kid in relative peace. He is barely able to make a living. Protecting his dead wife's grave, Jubei has decided to never pick up a sword again, but due to poverty he has no choice but to pick the sword again. Jubei becomes a bounty hunter.",????????????????€?,2.443676,0,9/13/2013,Unforgiven,1992,TRUE
759,0,Drama,141819,tt2347134,"Set in Hokkaido, Japan in the 1880s. Jubei Kamata (Ken Watanabe), who is on the side of the Edo shogunate government, kills many people. His name is infamous in Kyoto. When the battle at Goryoukaku is about to be finished, Jubei disappears. 10 years later, Jubei lives with his kid in relative peace. He is barely able to make a living. Protecting his dead wife's grave, Jubei has decided to never pick up a sword again, but due to poverty he has no choice but to pick the sword again. Jubei becomes a bounty hunter.",????????????????€?,2.443676,0,9/13/2013,Unforgiven,1992,TRUE
760,14000000,Western,33,tt0105695,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",Unforgiven,10.942149,159157447,8/7/1992,Unforgiven,1992,TRUE
701,19000000,Crime,274,tt0102926,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",The Silence of the Lambs,4.307222,272742922,2/1/1991,The Silence of the Lambs,1991,TRUE
702,19000000,Drama,274,tt0102926,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",The Silence of the Lambs,4.307222,272742922,2/1/1991,The Silence of the Lambs,1991,TRUE
703,19000000,Thriller,274,tt0102926,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",The Silence of the Lambs,4.307222,272742922,2/1/1991,The Silence of the Lambs,1991,TRUE
234,7500000,Comedy,403,tt0097239,The story of an old Jewish widow named Daisy Werthan and her relationship with her colored chauffeur Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters in a time when those types of relationships where shunned upon. Oscar winning tragic comedy with a star-studded cast and based on a play of the same name by Alfred Uhry.,Driving Miss Daisy,10.703677,145793296,12/13/1989,Driving Miss Daisy,1989,TRUE
