	Name	Movie	Year of award	bioID	year_awarded	movieID
138	Michael Curtiz	Captain Blood	1936	https://www.imdb.com/name/nm0002031/	1936	https://www.imdb.com/title/tt0026174/
139	John Ford	The Informer	1936	https://www.imdb.com/name/nm0000406/	1936	https://www.imdb.com/title/tt0026529/
140	Henry Hathaway	The Lives of a Bengal Lancer	1936	https://www.imdb.com/name/nm0368871/	1936	https://www.imdb.com/title/tt0026643/
141	Frank Lloyd	Mutiny on the Bounty	1936	https://www.imdb.com/name/nm0515979/	1936	https://www.imdb.com/title/tt0026752/
142	Gary Cooper	Mr. Deeds Goes to Town	1937	https://www.imdb.com/name/nm0000011/	1937	https://www.imdb.com/title/tt0027996/
143	Walter Huston	Dodsworth	1937	https://www.imdb.com/name/nm0404158/	1937	https://www.imdb.com/title/tt0027532/
144	Paul Muni	The Story of Louis Pasteur	1937	https://www.imdb.com/name/nm0612847/	1937	https://www.imdb.com/title/tt0028313/
145	William Powell	My Man Godfrey	1937	https://www.imdb.com/name/nm0001635/	1937	https://www.imdb.com/title/tt0028010/
146	Spencer Tracy	San Francisco	1937	https://www.imdb.com/name/nm0000075/	1937	https://www.imdb.com/title/tt0028216/
147	Irene Dunne	Theodora Goes Wild	1937	https://www.imdb.com/name/nm0002050/	1937	https://www.imdb.com/title/tt0028355/
148	Gladys George	Valiant Is the Word for Carrie	1937	https://www.imdb.com/name/nm0313438/	1937	https://www.imdb.com/title/tt0028455/
149	Carole Lombard	My Man Godfrey	1937	https://www.imdb.com/name/nm0001479/	1937	https://www.imdb.com/title/tt0028010/
150	Luise Rainer	The Great Ziegfeld	1937	https://www.imdb.com/name/nm0707023/	1937	https://www.imdb.com/title/tt0027698/
151	Norma Shearer	Romeo and Juliet	1937	https://www.imdb.com/name/nm0790454/	1937	https://www.imdb.com/title/tt0028203/
152	Gaetano Gaudio	Anthony Adverse	1937	https://www.imdb.com/name/nm0309974/	1937	https://www.imdb.com/title/tt0027300/
153	Victor Milner	The General Died at Dawn	1937	https://www.imdb.com/name/nm0005800/	1937	https://www.imdb.com/title/tt0027664/
154	George Folsey	The Gorgeous Hussy	1937	https://www.imdb.com/name/nm0284390/	1937	https://www.imdb.com/title/tt0027690/
155	William Wyler	Dodsworth	1937	https://www.imdb.com/name/nm0943758/	1937	https://www.imdb.com/title/tt0027532/
156	Robert Z. Leonard	The Great Ziegfeld	1937	https://www.imdb.com/name/nm0502752/	1937	https://www.imdb.com/title/tt0027698/
157	Frank Capra	Mr. Deeds Goes to Town	1937	https://www.imdb.com/name/nm0001008/	1937	https://www.imdb.com/title/tt0027996/
158	Gregory La Cava	My Man Godfrey	1937	https://www.imdb.com/name/nm0478441/	1937	https://www.imdb.com/title/tt0028010/
159	W. S. Van Dyke	San Francisco	1937	https://www.imdb.com/name/nm0886754/	1937	https://www.imdb.com/title/tt0028216/
160	Charles Boyer	Conquest	1938	https://www.imdb.com/name/nm0000964/	1938	https://www.imdb.com/title/tt0028739/
161	Fredric March	A Star Is Born	1938	https://www.imdb.com/name/nm0545298/	1938	https://www.imdb.com/title/tt0029606/
162	Robert Montgomery	Night Must Fall	1938	https://www.imdb.com/name/nm0599910/	1938	https://www.imdb.com/title/tt0029310/
163	Paul Muni	The Life of Emile Zola	1938	https://www.imdb.com/name/nm0612847/	1938	https://www.imdb.com/title/tt0029146/
164	Spencer Tracy	Captains Courageous	1938	https://www.imdb.com/name/nm0000075/	1938	https://www.imdb.com/title/tt0028691/
165	Irene Dunne	The Awful Truth	1938	https://www.imdb.com/name/nm0002050/	1938	https://www.imdb.com/title/tt0028597/
166	Greta Garbo	Camille	1938	https://www.imdb.com/name/nm0001256/	1938	https://www.imdb.com/title/tt0028683/
167	Janet Gaynor	A Star Is Born	1938	https://www.imdb.com/name/nm0310980/	1938	https://www.imdb.com/title/tt0029606/
168	Luise Rainer	The Good Earth	1938	https://www.imdb.com/name/nm0707023/	1938	https://www.imdb.com/title/tt0028944/
169	Barbara Stanwyck	Stella Dallas	1938	https://www.imdb.com/name/nm0001766/	1938	https://www.imdb.com/title/tt0029608/
170	Gregg Toland	Dead End	1938	https://www.imdb.com/name/nm0005904/	1938	https://www.imdb.com/title/tt0028773/
171	Karl Freund	The Good Earth	1938	https://www.imdb.com/name/nm0005713/	1938	https://www.imdb.com/title/tt0028944/
172	Joseph Valentine	Wings over Honolulu	1938	https://www.imdb.com/name/nm0884252/	1938	https://www.imdb.com/title/tt0029784/
173	Leo McCarey	The Awful Truth	1938	https://www.imdb.com/name/nm0564970/	1938	https://www.imdb.com/title/tt0028597/
174	Sidney Franklin	The Good Earth	1938	https://www.imdb.com/name/nm0291548/	1938	https://www.imdb.com/title/tt0028944/
175	William Dieterle	The Life of Emile Zola	1938	https://www.imdb.com/name/nm0226189/	1938	https://www.imdb.com/title/tt0029146/
176	Gregory La Cava	Stage Door	1938	https://www.imdb.com/name/nm0478441/	1938	https://www.imdb.com/title/tt0029604/
177	William Wellman	A Star Is Born	1938	https://www.imdb.com/name/nm0920074/	1938	https://www.imdb.com/title/tt0029606/
178	Charles Boyer	Algiers	1939	https://www.imdb.com/name/nm0000964/	1939	https://www.imdb.com/title/tt0029855/
179	James Cagney	Angels with Dirty Faces	1939	https://www.imdb.com/name/nm0000010/	1939	https://www.imdb.com/title/tt0029870/
180	Robert Donat	The Citadel	1939	https://www.imdb.com/name/nm0232196/	1939	https://www.imdb.com/title/tt0029995/
181	Leslie Howard	Pygmalion	1939	https://www.imdb.com/name/nm0001366/	1939	https://www.imdb.com/title/tt0030637/
182	Spencer Tracy	Boys Town	1939	https://www.imdb.com/name/nm0000075/	1939	https://www.imdb.com/title/tt0029942/
183	Fay Bainter	White Banners	1939	https://www.imdb.com/name/nm0047810/	1939	https://www.imdb.com/title/tt0030973/
184	Bette Davis	Jezebel	1939	https://www.imdb.com/name/nm0000012/	1939	https://www.imdb.com/title/tt0030287/
185	Wendy Hiller	Pygmalion	1939	https://www.imdb.com/name/nm0384908/	1939	https://www.imdb.com/title/tt0030637/
186	Norma Shearer	Marie Antoinette	1939	https://www.imdb.com/name/nm0790454/	1939	https://www.imdb.com/title/tt0030418/
187	Margaret Sullavan	Three Comrades	1939	https://www.imdb.com/name/nm0837925/	1939	https://www.imdb.com/title/tt0030865/
188	James Wong Howe	Algiers	1939	https://www.imdb.com/name/nm0002146/	1939	https://www.imdb.com/title/tt0029855/
189	Ernest Miller, Harry Wild	Army Girl	1939	https://www.imdb.com/name/nm0588318/	1939	https://www.imdb.com/title/tt0029880/
190	Victor Milner	The Buccaneer	1939	https://www.imdb.com/name/nm0005800/	1939	https://www.imdb.com/title/tt0029950/
191	Joseph Ruttenberg	The Great Waltz	1939	https://www.imdb.com/name/nm0005853/	1939	https://www.imdb.com/title/tt0030202/
192	Ernest Haller	Jezebel	1939	https://www.imdb.com/name/nm0005735/	1939	https://www.imdb.com/title/tt0030287/
193	Joseph Valentine	Mad about Music	1939	https://www.imdb.com/name/nm0884252/	1939	https://www.imdb.com/title/tt0030395/
194	Norbert Brodine	Merrily We Live	1939	https://www.imdb.com/name/nm0005661/	1939	https://www.imdb.com/title/tt0030442/
195	Peverell Marley	Suez	1939	https://www.imdb.com/name/nm0549132/	1939	https://www.imdb.com/title/tt0030811/
196	Robert de Grasse	Vivacious Lady	1939	https://www.imdb.com/name/nm0002568/	1939	https://www.imdb.com/title/tt0030944/
197	Joseph Walker	You Can't Take It with You	1939	https://www.imdb.com/name/nm4583866/	1939	https://www.imdb.com/title/tt0030993/
198	Leon Shamroy	The Young in Heart	1939	https://www.imdb.com/name/nm0005872/	1939	https://www.imdb.com/title/tt0031002/
199	Michael Curtiz	Four Daughters	1939	https://www.imdb.com/name/nm0002031/	1939	https://www.imdb.com/title/tt0030149/
200	Norman Taurog	Boys Town	1939	https://www.imdb.com/name/nm0851537/	1939	https://www.imdb.com/title/tt0029942/
201	King Vidor	The Citadel	1939	https://www.imdb.com/name/nm0896542/	1939	https://www.imdb.com/title/tt0029995/
202	Frank Capra	You Can't Take It with You	1939	https://www.imdb.com/name/nm0001008/	1939	https://www.imdb.com/title/tt0030993/
203	Robert Donat	Goodbye, Mr. Chips	1940	https://www.imdb.com/name/nm0232196/	1940	https://www.imdb.com/title/tt0031385/
204	Clark Gable	Gone with the Wind	1940	https://www.imdb.com/name/nm0000022/	1940	https://www.imdb.com/title/tt0031381/
205	Laurence Olivier	Wuthering Heights	1940	https://www.imdb.com/name/nm0000059/	1940	https://www.imdb.com/title/tt0032145/
206	Mickey Rooney	Babes in Arms	1940	https://www.imdb.com/name/nm0001682/	1940	https://www.imdb.com/title/tt0031066/
207	James Stewart	Mr. Smith Goes to Washington	1940	https://www.imdb.com/name/nm0000071/	1940	https://www.imdb.com/title/tt0031679/
208	Bette Davis	Dark Victory	1940	https://www.imdb.com/name/nm0000012/	1940	https://www.imdb.com/title/tt0031210/
209	Irene Dunne	Love Affair	1940	https://www.imdb.com/name/nm0002050/	1940	https://www.imdb.com/title/tt0031593/
210	Greta Garbo	Ninotchka	1940	https://www.imdb.com/name/nm0001256/	1940	https://www.imdb.com/title/tt0031725/
211	Greer Garson	Goodbye, Mr. Chips	1940	https://www.imdb.com/name/nm0002093/	1940	https://www.imdb.com/title/tt0031385/
212	Vivien Leigh	Gone with the Wind	1940	https://www.imdb.com/name/nm0000046/	1940	https://www.imdb.com/title/tt0031381/
213	Joseph Valentine	First Love	1940	https://www.imdb.com/name/nm0884252/	1940	https://www.imdb.com/title/tt0031311/
214	Victor Milner	The Great Victor Herbert	1940	https://www.imdb.com/name/nm0005800/	1940	https://www.imdb.com/title/tt0031393/
215	Joseph H. August	Gunga Din	1940	https://www.imdb.com/name/nm0005641/	1940	https://www.imdb.com/title/tt0031398/
216	Gregg Toland	Wuthering Heights	1940	https://www.imdb.com/name/nm0005904/	1940	https://www.imdb.com/title/tt0032145/
217	Tony Gaudio	Juarez	1940	https://www.imdb.com/name/nm0309974/	1940	https://www.imdb.com/title/tt0031516/
218	George Folsey	Lady of the Tropics	1940	https://www.imdb.com/name/nm0284390/	1940	https://www.imdb.com/title/tt0031549/
219	Norbert Brodine	Of Mice and Men	1940	https://www.imdb.com/name/nm0005661/	1940	https://www.imdb.com/title/tt0031742/
220	Joseph Walker	Only Angels Have Wings	1940	https://www.imdb.com/name/nm4583866/	1940	https://www.imdb.com/title/tt0031762/
221	Arthur Miller	The Rains Came	1940	https://www.imdb.com/name/nm0007186/	1940	https://www.imdb.com/title/tt0031835/
