	Year of award	Movie	movieID	year_awarded
138	2020	Once Upon a Time in Hollywood	https://www.imdb.com/title/tt7131622/	2020
139	2002	Talk to Her	https://www.imdb.com/title/tt0287467/	2002
140	1957	The Bridge on the River Kwai	https://www.imdb.com/title/tt0050212/	1957
141	1949	The Red Shoes	https://www.imdb.com/title/tt0040725/	1949
142	1996	The English Patient	https://www.imdb.com/title/tt0116209/	1996
143	1993	The Fugitive	https://www.imdb.com/title/tt0106977/	1993
144	1971	Klute	https://www.imdb.com/title/tt0067309/	1971
145	2006	The Departed	https://www.imdb.com/title/tt0407887/	2006
146	1988	The Accused	https://www.imdb.com/title/tt0094608/	1988
147	1979	Norma Rae	https://www.imdb.com/title/tt0079638/	1979
148	2005	Walk the Line	https://www.imdb.com/title/tt0358273/	2005
149	1992	My Cousin Vinny	https://www.imdb.com/title/tt0104952/	1992
150	1981	Arthur	https://www.imdb.com/title/tt0082031/	1981
151	1966	The Shadow of Your Smile	https://www.imdb.com/title/tt3481722/	1966
152	2019	The Favourite	https://www.imdb.com/title/tt5083738/	2019
153	1981	On Golden Pond	https://www.imdb.com/title/tt0082846/	1981
154	1970	Patton	https://www.imdb.com/title/tt0066206/	1970
155	1974	The Godfather Part II	https://www.imdb.com/title/tt0068646/	1974
156	2005	Brokeback Mountain	https://www.imdb.com/title/tt0388795/	2005
157	2015	Bridge of Spies	https://www.imdb.com/title/tt3682448/	2015
158	2018	The Shape of Water	https://www.imdb.com/title/tt5580390/	2018
