,title,oscar_num,year,producer,is_winner,budget,genres,id,imdb_id,overview,original_title,popularity,revenue,release_date,award_year
47,Black Swan,83,2010,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",FALSE,13000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",44214,tt0947798,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",Black Swan,12.989056,327803731,2010/12/2,2010/12/31
48,Bonnie and Clyde,40,1967,"Warren Beatty, Producer",FALSE,2500000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",475,tt0061418,Bonnie and Clyde is based on the true stories of the gangster pair Bonnie Parker and Clyde Barrow who in the 1930s began robbing banks in U.S. cities until they were eventually killed. The film is a major landmark in the aesthetic movement known as the New Hollywood.,Bonnie and Clyde,12.109198,50700000,1967/7/18,1967/12/31
49,Born on the Fourth of July,62,1989,"A. Kitman Ho and Oliver Stone, Producers",FALSE,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",2604,tt0096969,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",Born on the Fourth of July,13.617646,161001698,1989/12/20,1989/12/31
50,Bound for Glory,49,1976,"Robert F. Blumofe and Harold Leventhal, Producers",FALSE,0,"[{'id': 10402, 'name': 'Music'}]",42232,tt0074235,"A biography of Woody Guthrie, one of America's greatest folk singers. He left his dust-devastated Texas home in the 1930s to find work, discovering the suffering and strength of America's working class.",Bound for Glory,3.207471,0,1976/12/5,1976/12/31
51,Boyhood,87,2014,"Richard Linklater and Cathleen Sutherland, Producers",FALSE,4000000,"[{'id': 18, 'name': 'Drama'}]",85350,tt1065073,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",Boyhood,6.430591,44349000,2014/6/5,2014/12/31
52,Braveheart,68,1995,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",TRUE,72000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",197,tt0112573,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Braveheart,20.755149,2.10E+08,1995/5/24,1995/12/31
53,Breaking Away,52,1979,"Peter Yates, Producer",FALSE,2300000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",20283,tt0078902,"Dave, nineteen, has just graduated high school, with his 3 friends, The comical Cyril, the warm hearted but short-tempered Moocher, and the athletic, spiteful but good-hearted Mike. Now, Dave enjoys racing bikes and hopes to race the Italians one day, and even takes up the Italian culture, much to his friends and parents annoyance.",Breaking Away,4.806374,2.00E+07,1979/5/24,1979/12/31
54,Bridge of Spies,88,2015,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers",FALSE,40000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",296098,tt3682448,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",Bridge of Spies,13.707888,165478348,2015/10/15,2015/12/31
55,Broadcast News,60,1987,"James L. Brooks, Producer",FALSE,20000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",12626,tt0092699,"Basket-case network news producer Jane Craig falls for new reporter Tom Grunnick, a pretty boy who represents the trend towards entertainment news she despises. Aaron Altman, a talented but plain correspondent, carries an unrequited torch for Jane. Sparks fly between the three as the network prepares for big changes, and both the news and Jane must decide between style and substance.",Broadcast News,8.627019,51249404,1987/12/16,1987/12/31
56,Brokeback Mountain,78,2005,"Diana Ossana and James Schamus, Producers",FALSE,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",142,tt0388795,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ?€?63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,Brokeback Mountain,11.787044,178043761,2005/9/2,2005/12/31
