,Name,Movie,Edition,Year of award,Award,Win?,bioID,movieID,movieLink,bioLink,tconst,averageRating,numVotes
122,Charles Laughton,Mutiny on the Bounty,8,1936,LeadingActor,False,nm0001452,tt0026752,https://www.imdb.com/title/tt0026752/,https://www.imdb.com/name/nm0001452/,tt0026752,7.7,19624
123,Franchot Tone,Mutiny on the Bounty,8,1936,LeadingActor,False,nm0867144,tt0026752,https://www.imdb.com/title/tt0026752/,https://www.imdb.com/name/nm0867144/,tt0026752,7.7,19624
124,Frank Lloyd,Mutiny on the Bounty,8,1936,Director,False,nm0515979,tt0026752,https://www.imdb.com/title/tt0026752/,https://www.imdb.com/name/nm0515979/,tt0026752,7.7,19624
125,Victor McLaglen,The Informer,8,1936,LeadingActor,True,nm0572142,tt0026529,https://www.imdb.com/title/tt0026529/,https://www.imdb.com/name/nm0572142/,tt0026529,7.5,5321
126,John Ford,The Informer,8,1936,Director,True,nm0000406,tt0026529,https://www.imdb.com/title/tt0026529/,https://www.imdb.com/name/nm0000406/,tt0026529,7.5,5321
127,Paul Muni,Black Fury,8,1936,LeadingActor,True,nm0612847,tt0026121,https://www.imdb.com/title/tt0026121/,https://www.imdb.com/name/nm0612847/,tt0026121,6.5,705
128,Elisabeth Bergner,Escape Me Never,8,1936,LeadingActress,False,nm0074949,tt0026320,https://www.imdb.com/title/tt0026320/,https://www.imdb.com/name/nm0074949/,tt0026320,5.8,81
129,Claudette Colbert,Private Worlds,8,1936,LeadingActress,False,nm0001055,tt0026893,https://www.imdb.com/title/tt0026893/,https://www.imdb.com/name/nm0001055/,tt0026893,6.6,240
130,Bette Davis,Dangerous,8,1936,LeadingActress,True,nm0000012,tt0026261,https://www.imdb.com/title/tt0026261/,https://www.imdb.com/name/nm0000012/,tt0026261,6.9,2642
131,Katharine Hepburn,Alice Adams,8,1936,LeadingActress,False,nm0000031,tt0026056,https://www.imdb.com/title/tt0026056/,https://www.imdb.com/name/nm0000031/,tt0026056,6.9,3541
132,Miriam Hopkins,Becky Sharp,8,1936,LeadingActress,False,nm0394244,tt0026104,https://www.imdb.com/title/tt0026104/,https://www.imdb.com/name/nm0394244/,tt0026104,5.9,816
133,Merle Oberon,The Dark Angel,8,1936,LeadingActress,False,nm0643353,tt0026264,https://www.imdb.com/title/tt0026264/,https://www.imdb.com/name/nm0643353/,tt0026264,6.7,657
134,Ray June,Barbary Coast,8,1936,Cinematography,False,nm0432482,tt0026097,https://www.imdb.com/title/tt0026097/,https://www.imdb.com/name/nm0432482/,tt0026097,6.8,1420
135,Victor Milner,The Crusades,8,1936,Cinematography,False,nm0005800,tt0026249,https://www.imdb.com/title/tt0026249/,https://www.imdb.com/name/nm0005800/,tt0026249,6.6,946
136,Gregg Toland,Les Miserables,8,1936,Cinematography,False,nm0005904,tt0026725,https://www.imdb.com/title/tt0026725/,https://www.imdb.com/name/nm0005904/,tt0026725,7.6,3175
137,Hal Mohr,A Midsummer Night's Dream,8,1936,Cinematography,False,nm0005803,tt0026714,https://www.imdb.com/title/tt0026714/,https://www.imdb.com/name/nm0005803/,tt0026714,6.9,2989
138,Michael Curtiz,Captain Blood,8,1936,Director,True,nm0002031,tt0026174,https://www.imdb.com/title/tt0026174/,https://www.imdb.com/name/nm0002031/,tt0026174,7.7,12227
139,Henry Hathaway,The Lives of a Bengal Lancer,8,1936,Director,False,nm0368871,tt0026643,https://www.imdb.com/title/tt0026643/,https://www.imdb.com/name/nm0368871/,tt0026643,7.1,2446
140,Gary Cooper,Mr. Deeds Goes to Town,9,1937,LeadingActor,False,nm0000011,tt0027996,https://www.imdb.com/title/tt0027996/,https://www.imdb.com/name/nm0000011/,tt0027996,7.9,18692
141,Frank Capra,Mr. Deeds Goes to Town,9,1937,Director,True,nm0001008,tt0027996,https://www.imdb.com/title/tt0027996/,https://www.imdb.com/name/nm0001008/,tt0027996,7.9,18692
142,Walter Huston,Dodsworth,9,1937,LeadingActor,False,nm0404158,tt0027532,https://www.imdb.com/title/tt0027532/,https://www.imdb.com/name/nm0404158/,tt0027532,7.8,7529
143,William Wyler,Dodsworth,9,1937,Director,False,nm0943758,tt0027532,https://www.imdb.com/title/tt0027532/,https://www.imdb.com/name/nm0943758/,tt0027532,7.8,7529
144,Paul Muni,The Story of Louis Pasteur,9,1937,LeadingActor,True,nm0612847,tt0028313,https://www.imdb.com/title/tt0028313/,https://www.imdb.com/name/nm0612847/,tt0028313,7.3,2117
145,William Powell,My Man Godfrey,9,1937,LeadingActor,False,nm0001635,tt0028010,https://www.imdb.com/title/tt0028010/,https://www.imdb.com/name/nm0001635/,tt0028010,8.0,19525
