,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
30,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,1.0,Straight,1946,Best Director,http://www.nndb.com/people/982/000024910/,The Lost Weekend,Billy Wilder,tt0037884,https://www.imdb.com/title/tt0037884/
31,"Neath, Wales",3-Jan-07,White,Na,0.6897,Straight,1946,Best Actor,http://www.nndb.com/people/814/000042688/,The Lost Weekend,Ray Milland,tt0037884,https://www.imdb.com/title/tt0037884/
32,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-1902,White,Na,1.0,Straight,1947,Best Director,http://www.nndb.com/people/463/000032367/,The Best Years of Our Lives,William Wyler,tt0036868,https://www.imdb.com/title/tt0036868/
33,"Racine, Wi",31-Aug-1897,White,Na,1.0,Straight,1947,Best Actor,http://www.nndb.com/people/255/000043126/,The Best Years of Our Lives,Fredric March,tt0036868,https://www.imdb.com/title/tt0036868/
34,"North Sydney, Nova Scotia, Canada",14-Jan-14,White,Na,1.0,Straight,1947,Best Supporting Actor,http://www.nndb.com/people/124/000063932/,The Best Years of Our Lives,Harold Russell,tt0036868,https://www.imdb.com/title/tt0036868/
35,"Istanbul, Turkey",7-Sep-09,White,Na,1.0,Straight,1948,Best Director,http://www.nndb.com/people/537/000026459/,Gentleman's Agreement,Elia Kazan,tt0039416,https://www.imdb.com/title/tt0039416/
36,New York City,29-Apr-17,White,Na,0.6897,Straight,1948,Best Supporting Actress,http://www.nndb.com/people/084/000063892/,Gentleman's Agreement,Celeste Holm,tt0039416,https://www.imdb.com/title/tt0039416/
37,"Nevada, Mo",5-Aug-06,White,Na,1.0,Straight,1949,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston,tt0040897,https://www.imdb.com/title/tt0040897/
38,"Toronto, Ontario, Canada",6-Apr-1884,White,Na,1.0,Straight,1949,Best Supporting Actor,http://www.nndb.com/people/122/000063930/,The Treasure of the Sierra Madre,Walter Huston,tt0040897,https://www.imdb.com/title/tt0040897/
39,"Nevada, Mo",5-Aug-06,White,Na,1.0,Straight,1949,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston,tt0040897,https://www.imdb.com/title/tt0040897/
40,"Wilkes-Barre, Pa",11-Feb-09,White,Jewish,1.0,Straight,1950,Best Director,http://www.nndb.com/people/723/000032627/,A Letter to Three Wives,Joseph L. Mankiewicz,tt0041587,https://www.imdb.com/title/tt0041587/
41,"Wilkes-Barre, Pa",11-Feb-09,White,Jewish,1.0,Straight,1951,Best Director,http://www.nndb.com/people/723/000032627/,All About Eve,Joseph L. Mankiewicz,tt0042192,https://www.imdb.com/title/tt0042192/
42,"St. Petersburg, Russia",3-Jul-06,White,Na,1.0,Straight,1951,Best Supporting Actor,http://www.nndb.com/people/728/000043599/,All About Eve,George Sanders,tt0042192,https://www.imdb.com/title/tt0042192/
43,"Oakland, Ca",18-Dec-04,White,Na,1.0,Straight,1952,Best Director,http://www.nndb.com/people/382/000044250/,A Place in the Sun,George Stevens,tt0043924,https://www.imdb.com/title/tt0043924/
